Full ngspice MC: n=10,000 workers=16
MOS MC ngspice n=10,000 workers=16: nmos_rvt
  nmos_rvt: 500/10000  143.2/s  ETA 1.1 min
  nmos_rvt: 1000/10000  157.7/s  ETA 1.0 min
  nmos_rvt: 1500/10000  161.5/s  ETA 0.9 min
  nmos_rvt: 2000/10000  156.6/s  ETA 0.9 min
  nmos_rvt: 2500/10000  144.9/s  ETA 0.9 min
  nmos_rvt: 3000/10000  139.6/s  ETA 0.8 min
  nmos_rvt: 3500/10000  136.5/s  ETA 0.8 min
  nmos_rvt: 4000/10000  135.4/s  ETA 0.7 min
  nmos_rvt: 4500/10000  134.7/s  ETA 0.7 min
  nmos_rvt: 5000/10000  134.6/s  ETA 0.6 min
  nmos_rvt: 5500/10000  134.8/s  ETA 0.6 min
  nmos_rvt: 6000/10000  134.0/s  ETA 0.5 min
  nmos_rvt: 6500/10000  133.5/s  ETA 0.4 min
  nmos_rvt: 7000/10000  133.7/s  ETA 0.4 min
  nmos_rvt: 7500/10000  133.2/s  ETA 0.3 min
  nmos_rvt: 8000/10000  133.0/s  ETA 0.3 min
  nmos_rvt: 8500/10000  132.1/s  ETA 0.2 min
  nmos_rvt: 9000/10000  131.4/s  ETA 0.1 min
  nmos_rvt: 9500/10000  131.3/s  ETA 0.1 min
  nmos_rvt: 10000/10000  129.7/s  ETA 0.0 min
MOS MC ngspice n=10,000 workers=16: nmos_nat
  nmos_nat: 500/10000  96.4/s  ETA 1.6 min
  nmos_nat: 1000/10000  93.9/s  ETA 1.6 min
  nmos_nat: 1500/10000  97.0/s  ETA 1.5 min
  nmos_nat: 2000/10000  98.2/s  ETA 1.4 min
  nmos_nat: 2500/10000  98.8/s  ETA 1.3 min
  nmos_nat: 3000/10000  99.8/s  ETA 1.2 min
  nmos_nat: 3500/10000  102.0/s  ETA 1.1 min
  nmos_nat: 4000/10000  102.2/s  ETA 1.0 min
  nmos_nat: 4500/10000  103.4/s  ETA 0.9 min
  nmos_nat: 5000/10000  105.4/s  ETA 0.8 min
  nmos_nat: 5500/10000  106.9/s  ETA 0.7 min
  nmos_nat: 6000/10000  108.5/s  ETA 0.6 min
  nmos_nat: 6500/10000  109.5/s  ETA 0.5 min
  nmos_nat: 7000/10000  110.4/s  ETA 0.5 min
  nmos_nat: 7500/10000  111.6/s  ETA 0.4 min
  nmos_nat: 8000/10000  111.8/s  ETA 0.3 min
  nmos_nat: 8500/10000  112.1/s  ETA 0.2 min
  nmos_nat: 9000/10000  112.4/s  ETA 0.1 min
  nmos_nat: 9500/10000  112.4/s  ETA 0.1 min
  nmos_nat: 10000/10000  112.8/s  ETA 0.0 min
MOS MC ngspice n=10,000 workers=16: nmos_hvt
  nmos_hvt: 500/10000  114.5/s  ETA 1.4 min
  nmos_hvt: 1000/10000  119.6/s  ETA 1.3 min
  nmos_hvt: 1500/10000  121.2/s  ETA 1.2 min
  nmos_hvt: 2000/10000  122.0/s  ETA 1.1 min
  nmos_hvt: 2500/10000  120.2/s  ETA 1.0 min
  nmos_hvt: 3000/10000  119.8/s  ETA 1.0 min
  nmos_hvt: 3500/10000  119.7/s  ETA 0.9 min
  nmos_hvt: 4000/10000  117.4/s  ETA 0.9 min
  nmos_hvt: 4500/10000  116.9/s  ETA 0.8 min
  nmos_hvt: 5000/10000  116.5/s  ETA 0.7 min
  nmos_hvt: 5500/10000  116.5/s  ETA 0.6 min
  nmos_hvt: 6000/10000  117.1/s  ETA 0.6 min
  nmos_hvt: 6500/10000  116.7/s  ETA 0.5 min
  nmos_hvt: 7000/10000  116.4/s  ETA 0.4 min
  nmos_hvt: 7500/10000  116.9/s  ETA 0.4 min
  nmos_hvt: 8000/10000  117.8/s  ETA 0.3 min
  nmos_hvt: 8500/10000  118.4/s  ETA 0.2 min
  nmos_hvt: 9000/10000  119.0/s  ETA 0.1 min
  nmos_hvt: 9500/10000  119.5/s  ETA 0.1 min
  nmos_hvt: 10000/10000  120.1/s  ETA 0.0 min
MOS MC ngspice n=10,000 workers=16: nmos_tox
  nmos_tox: 500/10000  104.3/s  ETA 1.5 min
  nmos_tox: 1000/10000  101.7/s  ETA 1.5 min
  nmos_tox: 1500/10000  102.4/s  ETA 1.4 min
  nmos_tox: 2000/10000  102.7/s  ETA 1.3 min
  nmos_tox: 2500/10000  103.9/s  ETA 1.2 min
  nmos_tox: 3000/10000  104.2/s  ETA 1.1 min
  nmos_tox: 3500/10000  104.3/s  ETA 1.0 min
