trial ugf_Hz pm_deg adc_dB
1 1.20355E+08 89.1808 91.9279
2 1.27061E+08 89.1606 91.9278
3 1.30383E+08 89.1924 91.9278
4 1.33365E+08 89.1879 91.9278
5 1.24709E+08 89.1634 91.9278
6 1.2968E+08 89.2153 91.9277
7 1.23556E+08 89.1912 91.9278
8 1.31708E+08 89.2161 91.9277
9 1.31515E+08 89.1801 91.9278
10 1.32726E+08 89.1568 91.9278
11 1.2916E+08 89.2225 91.9278
12 1.28462E+08 89.2577 91.9277
13 1.25849E+08 89.2065 91.9278
14 1.20087E+08 89.2052 91.9279
15 1.3325E+08 89.1947 91.9277
16 1.31032E+08 89.1993 91.9278
17 1.25187E+08 89.205 91.9278
18 1.30722E+08 89.23 91.9277
19 1.27655E+08 89.1977 91.9278
20 1.26678E+08 89.1864 91.9278
21 1.24565E+08 89.1999 91.9278
22 1.25573E+08 89.2164 91.9278
23 1.30215E+08 89.1959 91.9278
24 1.30591E+08 89.2069 91.9278
25 1.27287E+08 89.2076 91.9278
26 1.29137E+08 89.2281 91.9278
27 1.29345E+08 89.1964 91.9278
28 1.2738E+08 89.2421 91.9278
29 1.27445E+08 89.1973 91.9278
30 1.32136E+08 89.1683 91.9278
31 1.28596E+08 89.1984 91.9278
32 1.22566E+08 89.1823 91.9278
33 1.27861E+08 89.1758 91.9278
34 1.30335E+08 89.2183 91.9278
35 1.30853E+08 89.2056 91.9278
36 1.2679E+08 89.2096 91.9278
37 1.26897E+08 89.2064 91.9278
38 1.25199E+08 89.1803 91.9278
39 1.28446E+08 89.2234 91.9278
40 1.21295E+08 89.1922 91.9279
41 1.29465E+08 89.1656 91.9278
42 1.28368E+08 89.2086 91.9278
43 1.28392E+08 89.1717 91.9278
44 1.25194E+08 89.1886 91.9278
45 1.26505E+08 89.2026 91.9278
46 1.28496E+08 89.2314 91.9278
47 1.27189E+08 89.2081 91.9278
48 1.26704E+08 89.2035 91.9278
49 1.30263E+08 89.2179 91.9278
50 1.29449E+08 89.2192 91.9278
51 1.26535E+08 89.24 91.9278
52 1.28655E+08 89.1693 91.9278
53 1.27825E+08 89.1851 91.9278
54 1.22481E+08 89.1941 91.9278
55 1.31121E+08 89.1887 91.9278
56 1.27721E+08 89.1839 91.9278
57 1.30717E+08 89.2363 91.9277
58 1.28941E+08 89.2105 91.9278
59 1.25915E+08 89.2303 91.9278
60 1.29038E+08 89.2121 91.9278
