 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device        m.xdut.xm13.m0        m.xdut.xm18.m0        m.xdut.xm12.m0
      model            nmos_3p3.9            nmos_3p3.9            nmos_3p3.9
          l                 7e-07                 7e-07                 7e-07
          w                 4e-06                 4e-06                 4e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad                     0                     0                     0
         as                     0                     0                     0
         pd                     0                     0                     0
         ps                     0                     0                     0
        nrd                     0                     0                     0
        nrs                     0                     0                     0
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                    -0                    -0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     0                     0                     0
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           8.38618e-05            7.6302e-06           8.38618e-05
         gm           0.000219218           1.04106e-05           0.000219218
        gds           7.89539e-07            0.00109212           7.89539e-07
      vdsat               0.29216               1.33761               0.29216
        vth              0.818928              0.805143              0.818928
         id           4.04581e-05           4.04581e-05           4.04581e-05
        ibd          -2.90429e-12          -4.39666e-14          -2.90429e-12
        ibs          -4.39666e-14                     0          -4.39666e-14
        gbd                 1e-12           1.09486e-12                 1e-12
        gbs           1.09486e-12           1.38281e-12           1.09486e-12
       isub            1.3565e-07           6.94046e-23            1.3565e-07
      igidl           1.78426e-30                     0           1.78426e-30
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs            -0.0364447                     0            -0.0364447
        vgs                1.1264               2.89429                1.1264
        vds               2.85784             0.0364447               2.85784
        cgg           7.90643e-15           1.07919e-14           7.90643e-15
        cgs          -6.73874e-15          -5.22629e-15          -6.73874e-15
        cgd           4.02539e-19          -5.58661e-15           4.02539e-19
        cbg          -1.08108e-15          -9.58595e-18          -1.08108e-15
        cbd           1.65699e-19          -2.34684e-15           1.65699e-19
        cbs          -2.74406e-15          -1.98371e-15          -2.74406e-15
        cdg          -2.73031e-15           -5.3907e-15          -2.73031e-15
        cdd          -1.95024e-19           5.30098e-15          -1.95024e-19
        cds           3.79333e-15           2.26484e-15           3.79333e-15
        csg          -4.09504e-15          -5.39164e-15          -4.09504e-15
        csd          -3.73214e-19           2.63248e-15          -3.73214e-19
        css           5.68947e-15           4.94515e-15           5.68947e-15
        cgb           -1.1681e-15           2.09762e-17           -1.1681e-15
        cdb          -1.06283e-15          -2.17512e-15          -1.06283e-15
        csb          -1.59406e-15          -2.18599e-15          -1.59406e-15
        cbb           3.82498e-15           4.34014e-15           3.82498e-15
      capbd           1.43982e-15           2.35848e-15           1.43982e-15
      capbs           2.35848e-15            1.7692e-15           2.35848e-15
         qg           1.05128e-14           2.99987e-14           1.05128e-14
         qb          -8.50871e-15          -8.17567e-15          -8.50871e-15
         qd          -8.01671e-16          -1.08628e-14          -8.01671e-16
         qs           -1.2024e-15          -1.09601e-14           -1.2024e-15
       qinv           2.27066e-15           2.28866e-14           2.27066e-15
       qdef                     0                     0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.298936               2.02405              0.298936
     vdseff              0.291301             0.0362338              0.291301
       cgso           9.29333e-16           9.29647e-16           9.29333e-16
       cgdo            6.1708e-16           9.29646e-16            6.1708e-16
       cgbo              7.15e-20              7.15e-20              7.15e-20
       weff              3.97e-06              3.97e-06              3.97e-06
       leff              7.15e-07              7.15e-07              7.15e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device        m.xdut.xm14.m0        m.xdut.xm17.m0        m.xdut.xm16.m0
      model            nmos_3p3.9            nmos_3p3.9            nmos_3p3.9
          l                 7e-07                 7e-07                 7e-07
          w                 4e-06                 4e-06                 4e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad                     0                     0                     0
         as                     0                     0                     0
         pd                     0                     0                     0
         ps                     0                     0                     0
        nrd                     0                     0                     0
        nrs                     0                     0                     0
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                    -0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     0                     0                     0
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           9.31155e-05            7.6302e-06           7.73709e-05
         gm            0.00023916           1.04106e-05           0.000204194
        gds           1.36598e-06            0.00109212             7.778e-07
      vdsat              0.327667               1.33761              0.275476
        vth              0.805039              0.805143              0.825392
         id           5.04234e-05           4.04581e-05           3.48585e-05
        ibd          -1.17284e-12          -4.39666e-14          -2.03552e-12
        ibs                     0                     0          -6.19561e-14
        gbd                 1e-12           1.09486e-12                 1e-12
        gbs           1.38281e-12           1.38281e-12           1.04984e-12
       isub           2.50958e-15           6.94046e-23           1.16752e-09
      igidl                     0                     0           5.35449e-53
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs                     0                     0             -0.053258
        vgs               1.16284               2.89429               1.10958
        vds               1.16284             0.0364447               1.97226
        cgg           8.00431e-15           1.07919e-14           7.84887e-15
        cgs          -6.87236e-15          -5.22629e-15           -6.6604e-15
        cgd           -9.4589e-19          -5.58661e-15           2.89391e-19
        cbg          -1.07889e-15          -9.58595e-18          -1.08561e-15
        cbd          -3.99473e-19          -2.34684e-15           1.18716e-19
        cbs          -2.80436e-15          -1.98371e-15          -2.71247e-15
        cdg          -2.77181e-15           -5.3907e-15          -2.70568e-15
        cdd           1.32377e-18           5.30098e-15          -6.81544e-20
        cds           3.87225e-15           2.26484e-15            3.7496e-15
        csg          -4.15362e-15          -5.39164e-15          -4.05757e-15
        csd           2.15949e-20           2.63248e-15          -3.39952e-19
        css           5.80447e-15           4.94515e-15           5.62327e-15
        cgb          -1.13101e-15           2.09762e-17          -1.18876e-15
        cdb          -1.10177e-15          -2.17512e-15          -1.04384e-15
        csb          -1.65087e-15          -2.18599e-15          -1.56536e-15
        cbb           3.88365e-15           4.34014e-15           3.79797e-15
      capbd           1.77116e-15           2.35848e-15           1.57143e-15
      capbs            1.7692e-15            1.7692e-15           2.34242e-15
         qg           1.07607e-14           2.99987e-14           1.03998e-14
         qb          -8.40768e-15          -8.17567e-15          -8.55472e-15
         qd            -9.416e-16          -1.08628e-14          -7.38123e-16
         qs          -1.41143e-15          -1.09601e-14          -1.10697e-15
       qinv            2.6441e-15           2.28866e-14           2.09973e-15
       qdef                     0                     0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff              0.347901               2.02405              0.276438
     vdseff              0.324733             0.0362338              0.274253
       cgso           9.29361e-16           9.29647e-16           9.29318e-16
       cgdo            8.7452e-16           9.29646e-16           6.66453e-16
       cgbo              7.15e-20              7.15e-20              7.15e-20
       weff              3.97e-06              3.97e-06              3.97e-06
       leff              7.15e-07              7.15e-07              7.15e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device        m.xdut.xm20.m0        m.xdut.xm15.m0        m.xdut.xm19.m0
      model            nmos_3p3.9            nmos_3p3.9            nmos_3p3.9
          l                 7e-07                 7e-07                 7e-07
          w                 4e-06                 4e-06                 4e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad                     0                     0                     0
