 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.xm13.msky130_f m.xdut.xm18.msky130_f m.xdut.xm12.msky130_f
      model xdut.xm13:sky130_fd_p xdut.xm18:sky130_fd_p xdut.xm12:sky130_fd_p
          l                 5e-07                 5e-07                 5e-07
          w                 4e-06                 4e-06                 4e-06
          m                    16                    16                    16
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad                     0                     0                     0
         as                     0                     0                     0
         pd                     0                     0                     0
         ps                     0                     0                     0
        nrd                     0                     0                     0
        nrs                     0                     0                     0
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           0.000213627           0.000194862           0.000213627
         gm           0.000964436           0.000846353           0.000964436
        gds           7.40002e-06           0.000294494           7.40002e-06
      vdsat             0.0698724             0.0750549             0.0698724
        vth              0.668062              0.652926              0.668062
         id           4.98638e-05           4.98638e-05           4.98638e-05
        ibd          -1.10384e-11          -1.19924e-12          -1.10384e-11
        ibs          -1.19924e-12           9.73683e-24          -1.19924e-12
        gbd               1.6e-11           1.66583e-11               1.6e-11
        gbs           1.66583e-11           2.07851e-11           1.66583e-11
       isub           4.71591e-17           5.08372e-21           4.71591e-17
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs            -0.0663281           9.36906e-13            -0.0663281
        vgs              0.680217              0.679897              0.680217
        vds              0.613569             0.0663281              0.613569
        cgg           1.49817e-13           1.76013e-13           1.49817e-13
        cgs          -1.27854e-13           -1.0555e-13          -1.27854e-13
        cgd           1.43947e-16           -5.3504e-14           1.43947e-16
        cbg          -3.41885e-14          -1.78401e-14          -3.41885e-14
        cbd           -2.1371e-17          -3.99188e-14           -2.1371e-17
        cbs          -1.72756e-14          -2.94719e-16          -1.72756e-14
        cdg          -4.63308e-14          -7.60098e-14          -4.63308e-14
        cdd           4.51811e-19           6.58308e-14           4.51811e-19
        cds           5.81058e-14           2.97413e-14           5.81058e-14
        csg          -6.92973e-14          -8.21627e-14          -6.92973e-14
        csd          -1.23027e-16           2.75919e-14          -1.23027e-16
